manga_id,demographic_id
2,760597dc-608b-4748-a57c-68a4a9b4f024
13,32aca857-3a28-499d-a172-f3f1aa70b534
1706,760597dc-608b-4748-a57c-68a4a9b4f024
1706,32aca857-3a28-499d-a172-f3f1aa70b534
4632,760597dc-608b-4748-a57c-68a4a9b4f024
25,32aca857-3a28-499d-a172-f3f1aa70b534
656,760597dc-608b-4748-a57c-68a4a9b4f024
642,760597dc-608b-4748-a57c-68a4a9b4f024
90125,760597dc-608b-4748-a57c-68a4a9b4f024
116778,32aca857-3a28-499d-a172-f3f1aa70b534
1,760597dc-608b-4748-a57c-68a4a9b4f024
56805,32aca857-3a28-499d-a172-f3f1aa70b534
44347,760597dc-608b-4748-a57c-68a4a9b4f024
3,760597dc-608b-4748-a57c-68a4a9b4f024
21,32aca857-3a28-499d-a172-f3f1aa70b534
35243,32aca857-3a28-499d-a172-f3f1aa70b534
51,32aca857-3a28-499d-a172-f3f1aa70b534
26,32aca857-3a28-499d-a172-f3f1aa70b534
70345,760597dc-608b-4748-a57c-68a4a9b4f024
100448,32aca857-3a28-499d-a172-f3f1aa70b534
336,32aca857-3a28-499d-a172-f3f1aa70b534
16765,760597dc-608b-4748-a57c-68a4a9b4f024
23390,32aca857-3a28-499d-a172-f3f1aa70b534
119161,32aca857-3a28-499d-a172-f3f1aa70b534
145863,32aca857-3a28-499d-a172-f3f1aa70b534
33327,760597dc-608b-4748-a57c-68a4a9b4f024
113138,32aca857-3a28-499d-a172-f3f1aa70b534
126146,760597dc-608b-4748-a57c-68a4a9b4f024
21525,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
1133,760597dc-608b-4748-a57c-68a4a9b4f024
44489,760597dc-608b-4748-a57c-68a4a9b4f024
28,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
114745,32aca857-3a28-499d-a172-f3f1aa70b534
3031,32aca857-3a28-499d-a172-f3f1aa70b534
102,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
3006,32aca857-3a28-499d-a172-f3f1aa70b534
664,760597dc-608b-4748-a57c-68a4a9b4f024
42451,32aca857-3a28-499d-a172-f3f1aa70b534
698,760597dc-608b-4748-a57c-68a4a9b4f024
698,32aca857-3a28-499d-a172-f3f1aa70b534
745,760597dc-608b-4748-a57c-68a4a9b4f024
11734,760597dc-608b-4748-a57c-68a4a9b4f024
22,32aca857-3a28-499d-a172-f3f1aa70b534
7,32aca857-3a28-499d-a172-f3f1aa70b534
25515,760597dc-608b-4748-a57c-68a4a9b4f024
44,32aca857-3a28-499d-a172-f3f1aa70b534
30,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
42,32aca857-3a28-499d-a172-f3f1aa70b534
107931,760597dc-608b-4748-a57c-68a4a9b4f024
610,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
7519,32aca857-3a28-499d-a172-f3f1aa70b534
105084,32aca857-3a28-499d-a172-f3f1aa70b534
7375,760597dc-608b-4748-a57c-68a4a9b4f024
9711,32aca857-3a28-499d-a172-f3f1aa70b534
2921,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
145,32aca857-3a28-499d-a172-f3f1aa70b534
3866,32aca857-3a28-499d-a172-f3f1aa70b534
37707,32aca857-3a28-499d-a172-f3f1aa70b534
24692,32aca857-3a28-499d-a172-f3f1aa70b534
8157,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
743,760597dc-608b-4748-a57c-68a4a9b4f024
87609,32aca857-3a28-499d-a172-f3f1aa70b534
138673,32aca857-3a28-499d-a172-f3f1aa70b534
43,32aca857-3a28-499d-a172-f3f1aa70b534
85968,760597dc-608b-4748-a57c-68a4a9b4f024
126287,32aca857-3a28-499d-a172-f3f1aa70b534
401,760597dc-608b-4748-a57c-68a4a9b4f024
657,760597dc-608b-4748-a57c-68a4a9b4f024
