manga_id,author_id,role
134744,54047,Art
121213,6178,Story & Art
114043,48532,Story & Art
3082,3504,Story & Art
705,2582,Story
705,3250,Story
705,4843,Story & Art
6164,2867,Story & Art
20,1888,Art
20,1889,Story
18200,5583,Story & Art
78537,24373,Story & Art
731,3772,Story & Art
17904,4186,Story & Art
928,2755,Story
928,2756,Art
928,21273,Art
126479,41857,Story
92299,1868,Story & Art
112268,10350,Story & Art
58563,5215,Story & Art
12854,5389,Story
12854,6795,Art
40761,5067,Story
40761,18047,Art
28449,6257,Story & Art
3102,3182,Story & Art
348,2333,Story & Art
14483,7969,Story & Art
419,2395,Story & Art
70801,2836,Story & Art
18792,4545,Story & Art
110031,2521,Story & Art
95012,39805,Art
95012,39806,Story
736,2049,Story
736,2202,Art
26769,13146,Story & Art
14720,3240,Story & Art
18,1884,Story & Art
3649,4054,Art
3649,10308,Story
17,1885,Story & Art
1183,2104,Story & Art
37755,9030,Story & Art
104271,6579,Story & Art
7482,1985,Story
7482,4908,Art
765,1918,Story & Art
119392,50297,Story & Art
77637,33649,Story & Art
3986,2887,Story & Art
3986,2888,Story & Art
102165,4766,Story & Art
24457,9496,Story
24457,12433,Art
25409,12338,Story
25409,14799,Art
117840,46894,Story & Art
100323,12823,Story
100323,19551,Art
49865,21989,Story & Art
49865,21991,Story
17465,1931,Art
17465,10363,Story
115730,22323,Story & Art
108187,46058,Story & Art
103942,5811,Story & Art
1149,2847,Art
1149,2848,Story
118646,49613,Story
118646,49656,Art
96044,13851,Story & Art
55163,6333,Story
55163,19447,Art
1474,2992,Story & Art
7776,5389,Story
7776,8543,Art
103851,36688,Story & Art
24903,12247,Story & Art
84255,36149,Story & Art
45757,11085,Art
45757,19791,Story
45757,29361,Story
128,1959,Story & Art
131334,52773,Story & Art
79,1936,Story & Art
3438,3048,Story & Art
704,3098,Story & Art
7378,4142,Story & Art
104565,10463,Story & Art
121504,13521,Story & Art
3633,3218,Story & Art
14531,2318,Story & Art
8,1878,Story & Art
338,2321,Story & Art
23,1891,Story & Art
633,2554,Story & Art
7760,4488,Story & Art
21479,10742,Art
21479,11466,Story
23751,5254,Story
23751,8594,Art
44307,4186,Story & Art
48025,2703,Story
48025,21439,Art
904,3020,Story
904,3021,Art
1257,2915,Art
1257,5092,Story
115746,49148,Story
115746,49149,Art
110160,2898,Art
110160,44281,Story
133641,53595,Story
133641,53596,Art
33297,4142,Art
33297,15293,Story
7749,3624,Story & Art
10884,4610,Story & Art
1199,2273,Story & Art
8848,3537,Story & Art
92559,4610,Story & Art
125052,50984,Story & Art
62547,27415,Story & Art
12554,6257,Story & Art
89562,12254,Story & Art
92149,23483,Story & Art
729,2575,Story & Art
15,1883,Story & Art
1032,2610,Story & Art
585,2519,Story & Art
21419,11242,Story & Art
98270,41158,Story & Art
111202,47382,Story & Art
43913,13385,Art
43913,19235,Story
43913,19237,Art
106809,31455,Story & Art
13492,8052,Story & Art
375,2357,Story & Art
1031,2684,Story & Art
139629,2619,Story & Art
118289,41668,Story & Art
1461,2207,Art
1461,2848,Story
5664,4500,Story & Art
112807,9655,Story & Art
36933,2522,Story
36933,4340,Art
8300,5596,Story & Art
67645,9005,Story & Art
38105,7336,Story & Art
3575,2539,Story & Art
34127,15613,Story
34127,17601,Art
86337,15063,Story & Art
96573,43225,Story & Art
93699,5215,Story & Art
16081,3751,Art
16081,5092,Story
7149,4875,Story
7149,5597,Art
11896,3833,Story & Art
21498,5092,Story
21498,19801,Art
670,2556,Story & Art
3715,3465,Story & Art
81667,22165,Art
81667,24221,Story
16922,2432,Story & Art
1047,1999,Story
1047,3691,Story & Art
25250,12266,Story & Art
26144,15579,Story & Art
3520,3200,Story & Art
147171,12289,Art
147171,13989,Story
50217,2356,Story & Art
34053,3751,Art
34053,5092,Story
67617,29403,Story
67617,29405,Art
57015,24821,Story & Art
769,2598,Story & Art
8483,2405,Story & Art
98436,18693,Art
98436,37854,Story
122448,43141,Story & Art
762,2536,Story & Art
56743,3249,Art
56743,24471,Story
56857,4545,Story & Art
5744,2409,Story & Art
5651,3160,Story & Art
105,1950,Story & Art
1258,2916,Art
1258,5092,Story
4368,4875,Story
4368,8822,Art
98930,22715,Story
98930,41402,Art
12,1880,Story & Art
665,2543,Story & Art
43921,10742,Art
43921,11466,Story
26324,10867,Story & Art
117332,27743,Story & Art
160,2135,Story & Art
3872,2489,Story & Art
1023,2609,Story & Art
616,1908,Story & Art
142,1972,Art
142,1973,Story
974,2809,Story & Art
116790,49039,Story & Art
69903,1882,Story & Art
4658,1874,Art
4658,4113,Story
6812,2770,Story & Art
25132,9027,Art
25132,11423,Story
770,2602,Story & Art
118625,34151,Story & Art
21277,5134,Story & Art
39291,12811,Story & Art
80119,25227,Story & Art
1271,2908,Story & Art
11716,6862,Story & Art
21467,11015,Story & Art
43915,13385,Art
43915,19235,Story
43915,19237,Art
85802,18025,Story & Art
17152,1881,Story & Art
3282,3206,Story & Art
23419,1117,Story
23419,12292,Art
1110,2822,Story & Art
676,1891,Story & Art
661,2662,Story & Art
77609,33629,Story & Art
44319,9496,Story
44319,12433,Art
16816,2948,Story
16816,3249,Art
16144,5092,Story
16144,21719,Art
648,2974,Story & Art
445,2318,Story & Art
33251,3240,Story & Art
130832,52572,Story & Art
17517,4960,Story
17517,13513,Art
1600,1938,Story & Art
27,1877,Story & Art
430,2405,Story & Art
135545,40818,Story & Art
933,2711,Story & Art
22044,11166,Art
22044,11169,Story
70399,14013,Story
70399,19950,Art
3868,2635,Art
3868,3235,Story
4207,3005,Story & Art
81211,31991,Story
81211,34867,Art
422,2397,Story & Art
1009,2891,Story & Art
13290,1919,Story & Art
13290,9154,Story
21499,5092,Story
21499,10695,Art
1349,2956,Story
1349,2957,Art
923,2671,Story & Art
59893,26179,Story & Art
105430,39096,Story & Art
115922,42145,Art
115922,49152,Story
88991,11022,Story & Art
103989,3446,Story & Art
20242,12447,Story & Art
14,1882,Story & Art
60511,12447,Story & Art
22986,11450,Story & Art
26728,7008,Story
104829,44361,Story & Art
