anime_id,demographic_id
5114,32aca857-3a28-499d-a172-f3f1aa70b534
11061,32aca857-3a28-499d-a172-f3f1aa70b534
38524,32aca857-3a28-499d-a172-f3f1aa70b534
28851,32aca857-3a28-499d-a172-f3f1aa70b534
40028,32aca857-3a28-499d-a172-f3f1aa70b534
1535,32aca857-3a28-499d-a172-f3f1aa70b534
21,32aca857-3a28-499d-a172-f3f1aa70b534
40748,32aca857-3a28-499d-a172-f3f1aa70b534
35760,32aca857-3a28-499d-a172-f3f1aa70b534
23273,32aca857-3a28-499d-a172-f3f1aa70b534
16498,32aca857-3a28-499d-a172-f3f1aa70b534
47778,32aca857-3a28-499d-a172-f3f1aa70b534
30276,760597dc-608b-4748-a57c-68a4a9b4f024
32935,32aca857-3a28-499d-a172-f3f1aa70b534
25777,32aca857-3a28-499d-a172-f3f1aa70b534
37521,760597dc-608b-4748-a57c-68a4a9b4f024
38000,32aca857-3a28-499d-a172-f3f1aa70b534
40456,32aca857-3a28-499d-a172-f3f1aa70b534
28891,32aca857-3a28-499d-a172-f3f1aa70b534
40591,760597dc-608b-4748-a57c-68a4a9b4f024
37779,32aca857-3a28-499d-a172-f3f1aa70b534
48583,32aca857-3a28-499d-a172-f3f1aa70b534
50265,32aca857-3a28-499d-a172-f3f1aa70b534
20583,32aca857-3a28-499d-a172-f3f1aa70b534
43608,760597dc-608b-4748-a57c-68a4a9b4f024
44511,32aca857-3a28-499d-a172-f3f1aa70b534
30654,32aca857-3a28-499d-a172-f3f1aa70b534
37991,32aca857-3a28-499d-a172-f3f1aa70b534
37999,760597dc-608b-4748-a57c-68a4a9b4f024
31933,32aca857-3a28-499d-a172-f3f1aa70b534
26055,32aca857-3a28-499d-a172-f3f1aa70b534
22535,760597dc-608b-4748-a57c-68a4a9b4f024
31043,760597dc-608b-4748-a57c-68a4a9b4f024
918,32aca857-3a28-499d-a172-f3f1aa70b534
19,760597dc-608b-4748-a57c-68a4a9b4f024
1735,32aca857-3a28-499d-a172-f3f1aa70b534
245,32aca857-3a28-499d-a172-f3f1aa70b534
40776,32aca857-3a28-499d-a172-f3f1aa70b534
33255,32aca857-3a28-499d-a172-f3f1aa70b534
38691,32aca857-3a28-499d-a172-f3f1aa70b534
52034,760597dc-608b-4748-a57c-68a4a9b4f024
38883,32aca857-3a28-499d-a172-f3f1aa70b534
48561,32aca857-3a28-499d-a172-f3f1aa70b534
777,760597dc-608b-4748-a57c-68a4a9b4f024
37105,760597dc-608b-4748-a57c-68a4a9b4f024
33,760597dc-608b-4748-a57c-68a4a9b4f024
36649,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
263,32aca857-3a28-499d-a172-f3f1aa70b534
